geo_id,name,county,pop,pctgqtract,urban_type,leb,leb_pctile,hpi,hpi_pctile,hpi_quartile,hpi_least_healthy_25pct,economic,economic_pctile,education,education_pctile,insurance,insurance_pctile,clean_enviro,clean_enviro_pctile,housing,housing_pctile,neighborhood,neighborhood_pctile,social,social_pctile,transportation,transportation_pctile,abovepoverty,abovepoverty_pctile,automobile,automobile_pctile,bachelorsed,bachelorsed_pctile,censusresponse,censusresponse_pctile,commute,commute_pctile,dieselpm,dieselpm_pctile,employed,employed_pctile,h20contam,h20contam_pctile,homeownership,homeownership_pctile,houserepair,houserepair_pctile,inhighschool,inhighschool_pctile,inpreschool,inpreschool_pctile,insured,insured_pctile,ownsevere,ownsevere_pctile,ozone,ozone_pctile,parkaccess,parkaccess_pctile,percapitaincome,percapitaincome_pctile,pm25,pm25_pctile,rentsevere,rentsevere_pctile,retail,retail_pctile,treecanopy,treecanopy_pctile,uncrowded,uncrowded_pctile,voting,voting_pctile,latino_pct,white_pct,black_pct,asian_pct,multiple_pct,native_am_pct,pacific_isl_pct,other_pct,leb_cdc,leb_se,leb_flag,income_quartile,majority_minority
06037197600,"Census Tract 1976, Los Angeles County, California",Los Angeles,2166,0.004616805,urban_area,78.4,0.285301669,0.285788394,0.6563543,3,No,0.68682623,0.779332478,0.955431788,0.910783055,-0.607763303,0.227342747,-0.959650181,0.071373556,-0.56353114,0.168035944,0.162976964,0.705391528,-0.799463422,0.196405648,0.631430662,0.948652118,0.748384118,0.552631579,0.953,0.501604621,0.498016997,0.76097561,0.549,0.092169448,0.20325834,0.899614891,0.624788056,0.062002567,0.851,0.972849807,787.9403354,0.09762516,0.204395604,0.097689345,0.989417989,0.36957638,1,0.630166881,1,0.950898588,0.844694724,0.227342747,0.244897959,0.050641849,0.04863521,0.438061617,1,0.800513479,42182,0.679460847,12.53587816,0.087997433,0.235714286,0.555198973,4.120592847,0.611296534,0.070129936,0.664826701,0.906593407,0.367522465,0.749295775,0.362387677,0.44,0.328,0.003,0.17,0.032,0.007,0,0.02,78.4,1.3625,2,Q3,1
06037197700,"Census Tract 1977, Los Angeles County, California",Los Angeles,5332,0,urban_area,80.3,0.488318357,-0.170949155,0.390757381,2,No,-0.097466595,0.442747112,0.444291569,0.737227214,-0.788068003,0.192426187,-0.856102135,0.115275995,-0.889269556,0.085879332,0.058782392,0.554813864,-0.846682641,0.185109114,0.183506987,0.780744544,0.550357009,0.238125802,0.884,0.176444159,0.416960242,0.673042362,0.606,0.180038511,0.198504673,0.897047497,0.46167355,0.116559692,0.792,0.804043646,787.9403354,0.09762516,0.146353402,0.060333761,0.974424552,0.150641849,1,0.630166881,0.682352941,0.701283697,0.830540037,0.192426187,0.207017544,0.097432606,0.04863521,0.438061617,1,0.800513479,30348,0.45661104,12.80327609,0.071501926,0.350299401,0.186392811,3.723065774,0.580744544,0.044091223,0.403080873,0.888399413,0.306418485,0.690942029,0.215917843,0.253,0.227,0.03,0.427,0.041,0.022,0,0,80.3,1.4608,3,Q2,1
06037199000,"Census Tract 1990, Los Angeles County, California",Los Angeles,5391,0,urban_area,86.5,0.969062901,-0.420044247,0.254428755,2,No,-0.260020286,0.376636714,0.157986476,0.607060334,-1.602197188,0.074903723,-1.114038593,0.035815148,-0.561282997,0.168549422,0.136242769,0.672785623,-1.719547388,0.038896021,0.241679998,0.834403081,0.509402346,0.191527599,0.867,0.133440308,0.268073136,0.465853659,0.440009709,0.02593068,0.236822569,0.919383825,0.675848065,0.049679076,0.799,0.839216945,817.1889892,0.05237484,0.243902439,0.130166881,0.975308642,0.158921694,1,0.630166881,0.639455782,0.654043646,0.766627428,0.074903723,0.074766355,0.756033376,0.04981739,0.392041078,1,0.800513479,22593,0.263414634,12.97004897,0.064056483,0.302752294,0.313350449,10.36419177,0.850962773,0.037748439,0.286264442,0.8,0.123684211,0.662494412,0.150192555,0.665,0.053,0.011,0.261,0.011,0,0,0,86.5,3.9795,3,Q1_low,1
06037199110,"Census Tract 1991.10, Los Angeles County, California",Los Angeles,2705,0,urban_area,81.6,0.654172015,-0.827631418,0.081771502,1,Yes,-0.784940257,0.189216945,-1.254224718,0.025545571,-1.593289327,0.076444159,-0.179853039,0.385494223,-0.226418246,0.314120668,0.16603265,0.709499358,-1.590227424,0.051091142,-0.195185505,0.234274711,0.592236599,0.297047497,0.874,0.149293967,0.136122881,0.209627728,0.439,0.025481386,0.124293785,0.796919127,0.056288406,0.802053915,0.637,0.12406932,488.7862335,0.406867779,0.624151967,0.569191271,0.979452055,0.199165597,0.768115942,0.019383825,0.614035088,0.622849807,0.767326733,0.076444159,0.171052632,0.188061617,0.051162150000000003,0.358023107,0.984870849,0.563671374,21888,0.243774069,12.29318207,0.104621309,0.171428571,0.768677792,0.170322001,0.081386393,0.09120759,0.768549422,0.797829037,0.120924262,0.68875502,0.210012837,0.885,0.062,0.004,0.048,0.002,0,0,0,81.6,2.3037,3,Q1_low,1
06037199120,"Census Tract 1991.20, Los Angeles County, California",Los Angeles,4511,0.07204611,urban_area,78.5,0.295892169,-0.643947538,0.145956354,1,Yes,-0.943029507,0.140308087,-0.430001626,0.262259307,-0.456753446,0.267008986,-0.65324741,0.203594352,-0.74251685,0.11720154,0.163897407,0.706675225,-1.313890029,0.085365854,0.160107609,0.757637997,0.373548234,0.064056483,0.853,0.109756098,0.15869191,0.257252888,0.564,0.110654685,0.238039673,0.920025674,0.303958739,0.229653402,0.718,0.400513479,727.8847658,0.169062901,0.208071749,0.100641849,0.995614035,0.570860077,0.922222222,0.109306804,0.621212121,0.630937099,0.856549641,0.267008986,0.153846154,0.248138639,0.05022962,0.382028241,1,0.800513479,15935,0.08716303,12.44209355,0.093453145,0.375,0.136200257,5.417632069,0.692169448,0.065121003,0.632220796,0.803587444,0.129525032,0.635374928,0.094993582,0.739,0.03,0.022,0.194,0.015,0,0,0,78.5,1.7341,3,Q1_low,1
06037199201,"Census Tract 1992.01, Los Angeles County, California",Los Angeles,3660,0,urban_area,81.5,0.640179718,-0.874978625,0.070346598,1,Yes,-1.236939728,0.073555841,-0.320501919,0.331450578,-1.547906376,0.081514763,-0.616328918,0.218870347,-0.643084542,0.143260591,0.097218892,0.616046213,-1.149832237,0.11309371,-0.70878425,0.036456996,0.33442623,0.039666239,0.712,0.023170732,0.145531915,0.23029525,0.575,0.127856226,0.239204935,0.920282413,0.11357,0.590243902,0.669,0.20224647,806.2100211,0.058408216,0.113865932,0.042747112,0.995708155,0.573299101,1,0.630166881,0.402985075,0.346983312,0.770889488,0.081514763,0.114285714,0.46970475,0.05022962,0.382028241,1,0.800513479,14583,0.05648267,12.70430833,0.076315789,0.262626263,0.459627728,5.605933015,0.69987163,0.046664755,0.445057766,0.7456382,0.067650834000000007,0.658114558,0.138639281,0.683,0.017,0,0.3,0,0,0,0,81.5,2.8418,3,Q1_low,1
06037199202,"Census Tract 1992.02, Los Angeles County, California",Los Angeles,3155,0.002852615,urban_area,82,0.698202824,-0.324272808,0.305519897,2,No,-0.210133257,0.396148909,0.151615379,0.603979461,-1.503807419,0.085879332,-0.15592133,0.393709884,-0.467657284,0.203594352,0.006467281,0.454428755,-1.423717819,0.070474968,0.147706073,0.742105263,0.651524778,0.383568678,0.913,0.265147625,0.279669261,0.487676508,0.45,0.029525032,0.14800262,0.838639281,0.058645223,0.793453145,0.736,0.495378691,488.7862335,0.406867779,0.459371614,0.348908858,0.987804878,0.340757381,1,0.630166881,0.619047619,0.628498074,0.774351444,0.085879332,0.223684211,0.072143774,0.05070407,0.365725289,0.860772022,0.411039795,25779,0.349101412,12.16478122,0.126700899,0.262068966,0.461617458,1.635839376,0.362130937,0.077936581,0.709884467,0.854821235,0.224903723,0.711976048,0.263543004,0.749,0.107,0.01,0.119,0.014,0,0,0,82,2.1585,3,Q2,1
06037199300,"Census Tract 1993, Los Angeles County, California",Los Angeles,4202,0.00618753,urban_area,83.6,0.844801027,-0.029591715,0.473299101,2,No,0.270955103,0.601797176,0.262848321,0.656739409,-1.193981352,0.123363286,-0.17459311,0.387291399,-0.558055594,0.16970475,0.295762189,0.814377407,-1.143886672,0.115147625,0.487302164,0.926572529,0.639903846,0.367265725,0.909,0.249679076,0.397154346,0.647496791,0.445,0.028112965,0.233383308,0.917971759,0.113764526,0.589345315,0.784,0.767073171,488.7862335,0.406867779,0.588593156,0.513863928,0.984313725,0.274197689,1,0.630166881,0.557894737,0.551476252,0.79867411,0.123363286,0.273913043,0.031964056,0.051214,0.35224647,1,0.800513479,46163,0.733889602,11.8291691,0.297689345,0.316239316,0.272079589,1.391407287,0.322593068,0.116418972,0.836970475,0.882129278,0.289216945,0.771224597,0.426957638,0.592,0.26,0.014,0.122,0.007,0.005,0,0,83.6,3.1606,3,Q3,1
06037199400,"Census Tract 1994, Los Angeles County, California",Los Angeles,4759,0.008615255,urban_area,83,0.796983312,-0.509087222,0.209114249,1,Yes,-0.810567143,0.181386393,0.24905825,0.650064185,-1.133372832,0.131835687,-0.295842585,0.343003851,-0.701960224,0.128369705,0.137177692,0.67406932,-1.08333761,0.129396662,-0.186653839,0.241206675,0.500948767,0.182284981,0.87,0.140372272,0.199110829,0.339666239,0.537,0.081001284,0.132101617,0.81296534,0.207516194,0.365725289,0.665,0.189473684,488.7862335,0.406867779,0.287912088,0.165596919,0.992307692,0.446148909,1,0.630166881,0.804878049,0.817137356,0.803432137,0.131835687,0.204081633,0.102888318,0.05070407,0.365725289,1,0.800513479,23701,0.291912709,12.31141865,0.103209243,0.203703704,0.664377407,2.868067158,0.511938383,0.068356814,0.652888318,0.724542125,0.053658537,0.703892057,0.243132221,0.704,0.039,0.044,0.191,0.022,0,0,0,83,1.973,3,Q2,1
06037199700,"Census Tract 1997, Los Angeles County, California",Los Angeles,3063,0.004244205,urban_area,79.2,0.363992298,-0.483552913,0.222336329,1,Yes,-0.394302482,0.326315789,0.268094803,0.659691913,-1.327406125,0.103465982,-1.074743446,0.043260591,-0.558348019,0.16957638,0.064731599,0.563928113,-1.617505373,0.048523748,-0.232714647,0.201668806,0.467515508,0.144287548,0.84,0.094608472,0.269677996,0.469319641,0.442,0.026957638,0.164874552,0.861360719,0.640033066,0.057252888,0.783,0.762002567,787.9403354,0.09762516,0.24403183,0.13029525,0.986425339,0.312708601,1,0.630166881,0.728571429,0.747175866,0.788199697,0.103465982,0.088372093,0.659306804,0.04939042,0.409306804,1,0.800513479,23172,0.278112965,13.26241232,0.053658537,0.359550562,0.167843389,5.010232837,0.669319641,0.040456691,0.334017972,0.819628647,0.155969191,0.680815877,0.188831836,0.654,0.177,0.007,0.15,0.005,0,0.006,0.002,79.2,1.6954,3,Q2,1
06037199800,"Census Tract 1998, Los Angeles County, California",Los Angeles,5828,0.001029513,urban_area,83.4,0.828947368,-0.576625092,0.180102696,1,Yes,-1.007288913,0.12156611,0.180648819,0.617843389,-0.143967744,0.357381258,-0.865840969,0.110783055,-1.254984235,0.03491656,0.13842611,0.675224647,-0.877268993,0.177150193,-0.242953657,0.193068036,0.336081058,0.040693196,0.844,0.100192555,0.104166667,0.140564827,0.646032258,0.278818999,0.156666667,0.852503209,0.392601344,0.154043646,0.727,0.449101412,832.1871195,0.041591784,0.316698656,0.192811297,0.980830671,0.218228498,1,0.630166881,0.872093023,0.866431322,0.881104651,0.357381258,0.287128713,0.025288832,0.04978792,0.396790757,1,0.800513479,13772,0.041078306,12.70430833,0.076315789,0.44600939,0.046084724,9.002853521,0.820410783,0.043841402,0.398202824,0.804222649,0.13055199,0.65046492,0.121309371,0.623,0.013,0,0.364,0,0,0,0,83.4,2.4656,3,Q1_low,1
